#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases 
7.100005326785102966e+01,3.959000000000000000e+03,7.710000000000000000e+02,2.385000000000000000e+03,1.063000000000000000e+03,2.720000000000000000e+03,1.650000000000000000e+02,1.325000000000000000e+03,6.000000000000000000e+00,9.600000000000000000e+02,3.050000000000000000e+02
7.200120050370030356e+01,3.925000000000000000e+03,7.560000000000000000e+02,2.369000000000000000e+03,1.041000000000000000e+03,2.781000000000000000e+03,1.690000000000000000e+02,1.334000000000000000e+03,6.000000000000000000e+00,9.700000000000000000e+02,2.950000000000000000e+02
7.300108470402604155e+01,3.890000000000000000e+03,7.430000000000000000e+02,2.349000000000000000e+03,1.020000000000000000e+03,2.839000000000000000e+03,1.790000000000000000e+02,1.328000000000000000e+03,6.000000000000000000e+00,9.740000000000000000e+02,2.940000000000000000e+02
7.400287886158098161e+01,3.857000000000000000e+03,7.290000000000000000e+02,2.317000000000000000e+03,9.970000000000000000e+02,2.911000000000000000e+03,1.860000000000000000e+02,1.327000000000000000e+03,6.000000000000000000e+00,9.820000000000000000e+02,2.820000000000000000e+02
7.500051393737632566e+01,3.833000000000000000e+03,6.980000000000000000e+02,2.295000000000000000e+03,9.860000000000000000e+02,2.977000000000000000e+03,1.970000000000000000e+02,1.317000000000000000e+03,6.000000000000000000e+00,9.860000000000000000e+02,2.760000000000000000e+02
7.600090905974879263e+01,3.805000000000000000e+03,6.810000000000000000e+02,2.265000000000000000e+03,9.710000000000000000e+02,3.048000000000000000e+03,2.010000000000000000e+02,1.303000000000000000e+03,6.000000000000000000e+00,9.840000000000000000e+02,2.650000000000000000e+02
7.700012206383841828e+01,3.781000000000000000e+03,6.600000000000000000e+02,2.254000000000000000e+03,9.440000000000000000e+02,3.096000000000000000e+03,2.090000000000000000e+02,1.302000000000000000e+03,6.000000000000000000e+00,9.900000000000000000e+02,2.700000000000000000e+02
7.800134645283465318e+01,3.752000000000000000e+03,6.490000000000000000e+02,2.238000000000000000e+03,9.160000000000000000e+02,3.146000000000000000e+03,2.150000000000000000e+02,1.292000000000000000e+03,6.000000000000000000e+00,9.820000000000000000e+02,2.690000000000000000e+02
7.900044511385840451e+01,3.711000000000000000e+03,6.650000000000000000e+02,2.171000000000000000e+03,8.560000000000000000e+02,3.228000000000000000e+03,2.250000000000000000e+02,1.284000000000000000e+03,6.000000000000000000e+00,9.800000000000000000e+02,2.620000000000000000e+02
8.000161131576940932e+01,3.679000000000000000e+03,6.630000000000000000e+02,2.148000000000000000e+03,8.390000000000000000e+02,3.277000000000000000e+03,2.330000000000000000e+02,1.283000000000000000e+03,6.000000000000000000e+00,9.870000000000000000e+02,2.530000000000000000e+02
8.100096126095967008e+01,3.653000000000000000e+03,6.520000000000000000e+02,2.128000000000000000e+03,8.150000000000000000e+02,3.326000000000000000e+03,2.410000000000000000e+02,1.275000000000000000e+03,6.000000000000000000e+00,9.880000000000000000e+02,2.540000000000000000e+02
8.200397440078462807e+01,3.630000000000000000e+03,6.320000000000000000e+02,2.114000000000000000e+03,8.110000000000000000e+02,3.377000000000000000e+03,2.470000000000000000e+02,1.262000000000000000e+03,6.000000000000000000e+00,9.860000000000000000e+02,2.460000000000000000e+02
8.300004866577094731e+01,3.605000000000000000e+03,6.280000000000000000e+02,2.093000000000000000e+03,7.890000000000000000e+02,3.424000000000000000e+03,2.500000000000000000e+02,1.257000000000000000e+03,6.000000000000000000e+00,9.930000000000000000e+02,2.390000000000000000e+02
