#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Rec Indv, 5: No. Dead Indv, 6: Sev Cases, 7: Hosp Cases, 8:Q Sev Cases, 9: QNS Cases 
7.900000000000000000e+01,9.394000000000000000e+03,1.590000000000000000e+02,2.940000000000000000e+02,2.130000000000000000e+02,6.000000000000000000e+00,8.400000000000000000e+01,6.000000000000000000e+00,6.000000000000000000e+01,2.210000000000000000e+02
8.000000000000000000e+01,9.376000000000000000e+03,1.640000000000000000e+02,2.970000000000000000e+02,2.230000000000000000e+02,6.000000000000000000e+00,8.900000000000000000e+01,6.000000000000000000e+00,6.400000000000000000e+01,2.340000000000000000e+02
8.100000000000000000e+01,9.346000000000000000e+03,1.720000000000000000e+02,3.030000000000000000e+02,2.410000000000000000e+02,7.000000000000000000e+00,8.800000000000000000e+01,6.000000000000000000e+00,6.400000000000000000e+01,2.400000000000000000e+02
8.200000000000000000e+01,9.323000000000000000e+03,1.770000000000000000e+02,3.150000000000000000e+02,2.500000000000000000e+02,8.000000000000000000e+00,9.200000000000000000e+01,6.000000000000000000e+00,6.500000000000000000e+01,2.450000000000000000e+02
8.300000000000000000e+01,9.296000000000000000e+03,1.840000000000000000e+02,3.360000000000000000e+02,2.590000000000000000e+02,8.000000000000000000e+00,9.500000000000000000e+01,6.000000000000000000e+00,7.100000000000000000e+01,2.490000000000000000e+02
8.400000000000000000e+01,9.257000000000000000e+03,1.970000000000000000e+02,3.510000000000000000e+02,2.700000000000000000e+02,8.000000000000000000e+00,1.000000000000000000e+02,6.000000000000000000e+00,7.500000000000000000e+01,2.510000000000000000e+02
8.500000000000000000e+01,9.225000000000000000e+03,2.050000000000000000e+02,3.660000000000000000e+02,2.810000000000000000e+02,1.000000000000000000e+01,1.050000000000000000e+02,6.000000000000000000e+00,7.900000000000000000e+01,2.610000000000000000e+02
8.600000000000000000e+01,9.193000000000000000e+03,2.100000000000000000e+02,3.850000000000000000e+02,2.920000000000000000e+02,1.000000000000000000e+01,1.120000000000000000e+02,6.000000000000000000e+00,7.900000000000000000e+01,2.790000000000000000e+02
8.700000000000000000e+01,9.172000000000000000e+03,2.110000000000000000e+02,3.840000000000000000e+02,3.080000000000000000e+02,1.000000000000000000e+01,1.140000000000000000e+02,6.000000000000000000e+00,8.100000000000000000e+01,2.950000000000000000e+02
8.800000000000000000e+01,9.129000000000000000e+03,2.230000000000000000e+02,4.110000000000000000e+02,3.190000000000000000e+02,1.000000000000000000e+01,1.210000000000000000e+02,6.000000000000000000e+00,8.200000000000000000e+01,3.100000000000000000e+02
8.900000000000000000e+01,9.095000000000000000e+03,2.280000000000000000e+02,4.320000000000000000e+02,3.390000000000000000e+02,1.000000000000000000e+01,1.250000000000000000e+02,6.000000000000000000e+00,8.600000000000000000e+01,3.270000000000000000e+02
9.000000000000000000e+01,9.063000000000000000e+03,2.350000000000000000e+02,4.430000000000000000e+02,3.580000000000000000e+02,1.200000000000000000e+01,1.310000000000000000e+02,6.000000000000000000e+00,8.800000000000000000e+01,3.390000000000000000e+02
9.100000000000000000e+01,9.035000000000000000e+03,2.320000000000000000e+02,4.610000000000000000e+02,3.750000000000000000e+02,1.200000000000000000e+01,1.380000000000000000e+02,6.000000000000000000e+00,8.900000000000000000e+01,3.520000000000000000e+02
9.200000000000000000e+01,8.999000000000000000e+03,2.450000000000000000e+02,4.730000000000000000e+02,3.870000000000000000e+02,1.300000000000000000e+01,1.430000000000000000e+02,6.000000000000000000e+00,9.300000000000000000e+01,3.650000000000000000e+02
9.300000000000000000e+01,8.960000000000000000e+03,2.570000000000000000e+02,4.670000000000000000e+02,4.140000000000000000e+02,1.300000000000000000e+01,1.510000000000000000e+02,6.000000000000000000e+00,1.080000000000000000e+02,3.690000000000000000e+02
9.400000000000000000e+01,8.926000000000000000e+03,2.650000000000000000e+02,4.830000000000000000e+02,4.250000000000000000e+02,1.500000000000000000e+01,1.500000000000000000e+02,6.000000000000000000e+00,1.210000000000000000e+02,3.750000000000000000e+02
